Ticker,Company,Sector,Industry,Country,Market Cap,ATR,Prev Close,Open,High,Low
AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China,126.09M,0.37,5.08,,,
AIHS,Senmiao Technology Limited,Financial,Credit Services,China,68.51M,0.15,1.49,,,
AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA,46.87M,0.15,1.24,,,
AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA,3.86B,2.49,56.43,,,
AINV,Apollo Investment Corporation,Financial,Asset Management,USA,795.35M,0.35,12.31,,,
AIQ,Global X Artificial Intelligence & Technology ETF,Financial,Exchange Traded Fund,USA,-,0.37,28.67,,,
AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,239.12M,1.82,22.73,,,
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,Financial,Exchange Traded Fund,USA,-,0.75,37.49,,,
AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA,63.65M,2.88,22.57,,,
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,17.15B,2.27,109.06,,,
AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,504.77M,0.17,3.36,,,
AKER,"Akers Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,25.59M,0.16,2.85,,,
AKRO,"Akero Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.06B,1.56,31.06,,,
AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA,607.73M,0.94,15.37,,,
AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,United Kingdom,90.05M,0.29,2.94,,,
AKUS,"Akouos, Inc.",Healthcare,Biotechnology,USA,579.52M,1.14,16.95,,,
ALAC,Alberton Acquisition Corporation,Financial,Shell Companies,Hong Kong,234.43M,1.08,14.4,,,
ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA,700.15M,1.53,35.06,,,
ALCO,"Alico, Inc.",Consumer Defensive,Farm Products,USA,234.83M,0.81,30.94,,,
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA,434.82M,1.05,12.29,,,
ALEC,"Alector, Inc.",Healthcare,Biotechnology,USA,1.21B,1.02,16.59,,,
ALGM,"Allegro MicroSystems, Inc.",Technology,Semiconductors,USA,6.47B,1.97,33.5,,,
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,USA,41.18B,17.46,534.08,,,
ALGS,"Aligos Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.35B,3.47,32.85,,,
ALGT,Allegiant Travel Company,Industrials,Airlines,USA,3.31B,6.96,191.42,,,
ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,40.72M,0.63,8,,,
ALJJ,"ALJ Regional Holdings, Inc.",Industrials,Specialty Business Services,USA,60.35M,0.09,1.28,,,
ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland,3.47B,0.89,22.19,,,
ALLK,Allakos Inc.,Healthcare,Biotechnology,USA,6.95B,7.15,132.33,,,
ALLO,"Allogene Therapeutics, Inc.",Healthcare,Biotechnology,USA,4.14B,1.57,30.76,,,
ALLT,Allot Ltd.,Technology,Communication Equipment,Israel,513.05M,0.88,14.57,,,
ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,85.36M,0.1,1.68,,,
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,19.87B,6.65,172.38,,,
ALOT,"AstroNova, Inc.",Technology,Computer Hardware,USA,79.92M,0.39,10.53,,,
ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,USA,329.57M,1.03,13.12,,,
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,USA,4.87B,3.85,97,,,
ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA,175.41M,0.18,1.98,,,
ALRS,Alerus Financial Corporation,Financial,Banks - Regional,USA,501.25M,0.98,28.48,,,
ALSK,"Alaska Communications Systems Group, Inc.",Communication Services,Telecom Services,USA,176.01M,0.07,3.29,,,
ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA,498.09M,1.15,14.35,,,
ALTA,Altabancorp,Financial,Banks - Regional,USA,624.69M,1.25,33,,,
ALTM,Altus Midstream Company,Energy,Oil & Gas Midstream,USA,746.97M,2.88,47.76,,,
ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,USA,4.54B,1.91,59.75,,,
ALTUU,Altitude Acquisition Corp.,Financial,Shell Companies,USA,-,0.14,10.64,,,
ALTY,Global X SuperDividend Alternatives ETF,Financial,Exchange Traded Fund,USA,-,0.1,12.01,,,
ALVR,"AlloVir, Inc.",Healthcare,Biotechnology,USA,2.80B,4.38,42.69,,,
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,34.92B,2.92,159.73,,,
ALXO,ALX Oncology Holdings Inc.,Healthcare,Biotechnology,USA,3.21B,6.78,81.47,,,
ALYA,Alithya Group Inc.,Technology,Information Technology Services,Canada,120.93M,0.12,2.37,,,
AMAL,Amalgamated Bank,Financial,Banks - Regional,USA,463.68M,0.65,15.03,,,
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,99.61B,3.57,106.33,,,
AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,4.12B,5.43,112.9,,,
AMCI,AMCI Acquisition Corp.,Financial,Shell Companies,USA,356.84M,1.38,16.49,,,
AMCX,AMC Networks Inc.,Communication Services,Broadcasting,USA,2.08B,2.22,49.38,,,
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,114.86B,3.27,92.79,,,
AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,USA,10.08B,9.41,313.54,,,
AMEH,"Apollo Medical Holdings, Inc.",Healthcare,Medical Care Facilities,USA,1.22B,0.74,22.36,,,
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,USA,145.28B,4.86,253.5,,,
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,USA,4.65B,0.65,18.47,,,
AMNB,American National Bankshares Inc.,Financial,Banks - Regional,USA,317.29M,0.91,27.98,,,
AMOT,Allied Motion Technologies Inc.,Technology,Electronic Components,USA,493.15M,1.84,50.27,,,
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,915.37M,0.62,18.7,,,
AMRB,American River Bankshares,Financial,Banks - Regional,USA,79.22M,0.55,13.31,,,
AMRK,"A-Mark Precious Metals, Inc.",Financial,Capital Markets,USA,205.42M,1.38,28.61,,,
AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland,2.57B,0.35,6.55,,,
AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA,2.30B,0.96,10.39,,,
AMSC,American Superconductor Corporation,Industrials,Specialty Industrial Machinery,USA,835.30M,2.02,29.35,,,
AMSF,"AMERISAFE, Inc.",Financial,Insurance - Specialty,USA,1.11B,1.76,56.2,,,
AMST,Amesite Inc.,Technology,Software - Application,USA,90.00M,0.3,4.3,,,
AMSWA,"American Software, Inc.",Technology,Software - Application,USA,654.98M,0.59,20.11,,,
AMTB,Amerant Bancorp Inc.,Financial,Banks - Regional,USA,628.98M,1.01,15.3,,,
AMTI,Applied Molecular Transport Inc.,Healthcare,Biotechnology,USA,1.33B,2.25,38.96,,,
AMTX,"Aemetis, Inc.",Energy,Oil & Gas Refining & Marketing,USA,92.84M,0.36,4.4,,,
AMWD,American Woodmark Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1.69B,3.1,98.45,,,
AMYT,Amryt Pharma plc,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,498.28M,0.5,13.93,,,
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,1664.22B,68.38,3292.23,,,
ANAB,"AnaptysBio, Inc.",Healthcare,Biotechnology,USA,685.49M,1.51,25.54,,,
ANAT,"American National Group, Inc.",Financial,Insurance - Diversified,USA,2.55B,2.36,95.07,,,
ANCN,Anchiano Therapeutics Ltd.,Healthcare,Biotechnology,USA,18.40M,0.38,2.48,,,
ANDA,Andina Acquisition Corp. III,Financial,Shell Companies,Colombia,50.22M,0.25,11.31,,,
ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,858.00M,1.2,25.25,,,
ANGI,ANGI Homeservices Inc.,Communication Services,Internet Content & Information,USA,6.35B,0.52,12.48,,,
ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,Financial,Exchange Traded Fund,USA,-,0.15,32.13,,,
ANGO,"AngioDynamics, Inc.",Healthcare,Medical Instruments & Supplies,USA,713.99M,0.96,18.2,,,
ANIK,"Anika Therapeutics, Inc.",Healthcare,Biotechnology,USA,578.95M,2.2,38.96,,,
ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,396.31M,1.22,32.09,,,
ANIX,"Anixa Biosciences, Inc.",Healthcare,Diagnostics & Research,USA,108.03M,0.36,4.21,,,
ANNX,"Annexon, Inc.",Healthcare,Biotechnology,USA,909.76M,2.21,27.02,,,
ANPC,"AnPac Bio-Medical Science Co., Ltd.",Healthcare,Biotechnology,China,65.89M,0.51,5.92,,,
ANSS,"ANSYS, Inc.",Technology,Software - Application,USA,32.59B,8.62,374.57,,,
ANTE,AirNet Technology Inc.,Communication Services,Advertising Agencies,China,32.31M,0.33,2.42,,,
ANY,Sphere 3D Corp.,Technology,Software - Application,Canada,15.88M,0.19,1.9,,,
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,USA,820.57M,1.51,30.86,,,
AOUT,"American Outdoor Brands, Inc.",Consumer Cyclical,Leisure,USA,281.13M,1.1,19.84,,,
APA,Apache Corporation,Energy,Oil & Gas E&P,USA,6.57B,1.04,16.38,,,
APDN,"Applied DNA Sciences, Inc.",Industrials,Security & Protection Services,USA,63.28M,1.13,10.46,,,
APEI,"American Public Education, Inc.",Consumer Defensive,Education & Training Services,USA,444.59M,1.23,29.58,,,
APEN,"Apollo Endosurgery, Inc.",Healthcare,Medical Devices,USA,110.25M,0.29,4.41,,,
